Unnamed: 0,latitude,longitude,name,Area
0,1.313659,1.2324,All,None
1,1.313659229,103.7037147,OPP CEVA LOGISTICS,None
2,1.41605745,103.7005846,AFT TRACK 13,None
3,1.380208759,103.7708237,BLK 239,None
4,1.33653504,103.9555562,GRACE INDEPENDENT CH,None
5,1.291127381,103.8024873,BLK 166,None
6,1.353766019,103.9461247,TAMPINES STN/INT,None
7,1.360652845,103.8598405,AFT CORFE PL,None
8,1.307580859,103.6938362,PEC LTD,None
9,1.372358179,103.8542504,BLK 527,None
10,1.350032954,103.7164453,BLK 536,None
11,1.346490131,103.9559075,BLK 148,None
12,1.327895782,103.6849251,CONTAINERS PRINTERS,None
13,1.340000384,103.7794382,OPP BT TIMAH PLAZA,None
14,1.33392083,103.6448815,OPTO-PHARM,None
15,1.442535022,103.7868768,BLK 808,None
16,1.281103867,103.8185213,AFT BT MERAH CTRL,None
17,1.311811435,103.8471805,OPP PARISH OF CHRIST CH,None
18,1.363794376,103.7492261,ST ANTHONY'S PR SCH,None
19,1.344166299,103.8757024,GAMBIR RIDGE,None
20,1.441470802,103.7754954,AFT BLK 1,None
21,1.443625067,103.795645,BLK 747A CP,None
22,1.33291185,103.9266505,BLK 550,None
23,1.322944283,103.9250961,OPP BLK 32,None
24,1.397363714,103.8889545,FARMWAY STN EXIT A,None
25,1.292705421,103.849832,GRAND PARK CITY HALL,None
26,1.336366588,103.8570955,BLK 17A,None
27,1.304675003,103.7646251,BLK 601,None
28,1.39696814,103.8897583,FARMWAY STN EXIT B,None
29,1.37406621,103.9611669,BLK 231A CP,None
30,1.369405234,103.8878236,HOUGANG SWIM CPLX,None
31,1.364686464,103.9082169,AFT JLN TELAWI,None
32,1.314543411,103.9099673,AFT JOO CHIAT PL,None
33,1.385630609,103.8483242,OPP SBST ANG MO KIO DEPOT,None
34,1.389785392,103.8369557,OPP FUDU WALK P/G,None
35,1.307178307,103.917586,CHIJ KATONG CON,None
36,1.305117744,103.8829557,OPP MOUNBATTEN STN,None
37,1.301152972,103.897498,OPP TG KATONG RD STH P/G,None
38,1.370823734,103.9800507,OPP SELARANG PK DRUG REH.,None
39,1.380384849,103.9463345,BEF PASIR RIS AVE,None
40,1.300711328,103.8410594,ORCHARD PLAZA,None
41,1.35893383,103.7620221,OPP HILLBROOKS,None
42,1.437087522,103.7254887,AFT NEO TIEW RD,None
43,1.289852072,103.7749663,THE CRYSTAL TABERNACLE CH,None
44,1.364570927,103.9633384,BLK 269A,None
45,1.440828346,103.82474,AFT SEMBAWANG SHOP CTR,None
46,1.299865506,103.8408469,WINSLAND HSE,None
47,1.350810225,103.9335462,BLK 835,None
48,1.319847932,103.7445638,BEF TEBAN GDNS RD,None
49,1.414644839,103.8618836,OPP YOUTH FLYING CLUB,None
50,1.316241894,103.8060271,FARRER RD MKT,None
51,1.277050056,103.8180083,SAFRA MT FABER,None
52,1.38106844,103.8456007,YIO CHU KANG INT,None
53,1.324800945,103.8421078,OPP THOMSON MED CTR,None
54,1.357657185,103.9555861,TAMPINES EAST STN EXIT D,None
55,1.271644334,103.8630594,OPP MARINA STH PIER STN,None
56,1.343664494,103.8738994,AFT UPP S'GOON RD,None
57,1.28585291,103.7858569,LP 30,None
58,1.336268099,103.8432611,OPP BLK 139A,None
59,1.324224431,103.6489705,AFT TUAS AVE 6,None
60,1.418651931,103.7545687,AFT LP 234,None
61,1.334636194,103.7878561,OPP THE NEXUS,None
62,1.37981846,103.8764998,AFT ANG MO KIO AVE 5,None
63,1.376162101,103.8393017,OPP BLK 155,None
64,1.312969406,103.9278299,OPP GOODWILL CT,None
65,1.448422496,103.8219871,BEF SEMBAWANG STN,None
66,1.341012926,103.836663,MT ALVERNIA HOSP,None
67,1.37437275,103.7266485,OPP TRACK 14,None
68,1.316143409,103.9447292,AFT BEDOK STH AVE 3,None
69,1.356026399,103.7191969,BEF HONG KAH FLYOVER,None
70,1.389517014,103.8707145,AFT SENGKANG WEST RD,None
71,1.328211734,103.9028899,BLK 318,None
72,1.428133849,103.7900929,AFT INNOVA PRI SCH,None
73,1.347277202,103.7103266,BLK 176,None
74,1.283662095,103.8144893,BLK 1003,None
75,1.33633592,103.8435683,BLK 139A,None
76,1.336924751,103.967817,AFT CHANGI BIZ PK CRES,None
77,1.286267507,103.7837281,GALEN,None
78,1.300412707,103.8361586,NATL YOUTH COUNCIL,None
79,1.376009023,103.8558211,ITE COLLEGE CTRL,None
80,1.29930981,103.8171352,OPP CHATSWORTH RD,None
81,1.31546831,103.7781391,OPP VILLAGE TWRS,None
82,1.350983296,103.7211087,BLK 457,None
83,1.323706031,103.7098079,OPP TRACTOR RD,None
84,1.399925059,103.9106984,OPP BLK 188,None
85,1.29187294,103.8144967,OPP SIS BLDG,None
86,1.333526109,103.6436664,OPP KEE WEE HUP KEE,None
87,1.340551418,103.6942912,BLK 978,None
88,1.297771326,103.853255,ST JOSEPH'S CH,None
